id,assignment,userid,timecreated,timemodified,grader,grade,attemptnumber
344,22,58,1605261441,1609764918,14,9.5,0
345,22,57,1605261383,1609764804,14,9.5,0
346,22,70,1605267753,1609766177,14,9.5,0
347,22,75,1605267859,1605267896,14,10,0
348,22,74,1605267855,1605267855,0,-1,0
349,22,73,1605267847,1603361964,0,-1,0
350,22,72,1605267817,1605267846,14,10,0
351,22,71,1605267782,1605267816,14,10,0
352,22,69,1605267671,1609765984,14,10,0
353,22,67,1605267649,1605267670,14,10,0
354,22,66,1605267597,1609765593,14,8.5,0
355,22,65,1605267580,1605267596,14,10,0
356,22,64,1605267556,1605267580,14,10,0
357,22,63,1605267507,1605267555,14,9,0
358,22,62,1605267486,1605267506,14,10,0
359,22,61,1605267459,1605267485,14,10,0
360,22,60,1605261525,1605267458,14,10,0
361,22,59,1605261476,1605261524,14,9,0
362,22,56,1605261359,1605261382,14,10,0
363,22,55,1605261321,1605261358,14,10,0
364,22,54,1605261154,1608048688,14,0,0
365,22,53,1605261114,1605261153,14,9,0
366,22,51,1605261046,1605261113,14,9,0
367,22,50,1605261026,1605261045,14,10,0
368,22,49,1605260979,1605261025,14,8,0
369,22,33,1605260937,1609763993,14,9,0
370,22,23,1605260886,1605260936,14,8,0
371,22,10,1605260860,1605260885,14,10,0
372,22,5,1605260772,1605260859,14,9,0
373,22,68,1605260665,1605260767,14,10,0
374,23,57,1607350520,1609764854,14,9.5,0
375,23,5,1607350153,1608048605,14,8,0
376,23,75,1607350845,1609769291,14,10,0
377,23,74,1607350843,1607350843,0,-1,0
378,23,73,1607350839,1607350839,0,-1,0
379,23,72,1607350817,1607350838,14,9,0
380,23,71,1607350797,1607350816,14,10,0
381,23,70,1607350775,1607350796,14,10,0
382,23,69,1607350763,1607350774,14,10,0
383,23,67,1607350737,1609765890,14,10,0
384,23,66,1607350710,1609765704,14,9,0
385,23,65,1607350691,1607350709,14,10,0
386,23,64,1607350679,1607350690,14,10,0
387,23,63,1607350660,1607350678,14,10,0
388,23,62,1607350638,1607350659,14,10,0
389,23,61,1607350623,1607350637,14,10,0
390,23,60,1607350597,1607350622,14,10,0
391,23,59,1607350584,1607350596,14,10,0
392,23,58,1607350547,1607350583,14,9.5,0
393,23,56,1607350503,1607350519,14,10,0
394,23,55,1607350434,1608048605,14,7.5,0
395,23,54,1607350428,1607350428,0,-1,0
396,23,53,1607350415,1607350427,14,10,0
397,23,51,1607350405,1608048605,14,6.5,0
398,23,50,1607350364,1609764640,14,10,0
399,23,49,1607350294,1608048605,14,6,0
400,23,33,1607350246,1607350293,14,6,0
401,23,23,1607350238,1607350238,0,-1,0
402,23,10,1607350221,1607350238,14,10,0
403,23,68,1607350000,1607350152,14,10,0
404,25,66,1606304235,1609765812,14,10,0
405,25,56,1606304113,1609765385,14,9.5,0
406,25,65,1606304223,1607863182,14,10,0
407,25,64,1606304213,1609765066,14,10,0
408,25,63,1606304203,1607863104,14,10,0
409,25,59,1606304152,1607863041,14,8.5,0
410,25,57,1606304125,1607863013,14,8,0
411,25,55,1606304100,1607862966,14,10,0
412,25,53,1606304063,1607862944,14,10,0
413,25,51,1606304047,1607862887,14,8,0
414,25,50,1606304033,1607862869,14,10,0
415,25,33,1606304001,1609764133,14,7.5,0
416,25,75,1606304323,1607862726,14,10,0
417,25,72,1606303923,1607862705,14,10,0
418,25,71,1606303875,1607862680,14,10,0
419,25,69,1606303850,1607862500,14,10,0
420,25,68,1606303768,1607862486,14,10,0
421,25,74,1606304311,1606304322,14,NULL,0
422,25,67,1606304250,1609765446,14,10,0
423,25,62,1606304191,1607863090,14,10,0
424,25,61,1606304172,1607863070,14,10,0
425,25,60,1606304161,1607863054,14,10,0
426,25,58,1606304137,1607863028,14,8,0
427,25,54,1606304079,1607862949,14,NULL,0
428,25,49,1606304019,1609765268,14,10,0
429,25,23,1606303982,1606304000,14,NULL,0
430,25,10,1606303962,1607862806,14,10,0
431,25,73,1606303936,1606304358,14,NULL,0
432,25,70,1606303864,1609766213,14,10,0
433,25,5,1606302942,1607862787,14,8.5,0
434,26,33,1608682924,1608676635,0,-1,0
435,26,67,1608682886,1608674347,0,-1,0
436,26,64,1608682817,1608673759,0,-1,0
437,26,69,1608682360,1608665151,0,-1,0
438,26,58,1608681940,1608656460,0,-1,0
439,26,70,1608681781,1608655325,0,-1,0
440,26,57,1608681675,1608653943,0,-1,0
441,26,66,1608494622,1608490834,0,-1,0
442,26,50,1608394767,1607960470,0,-1,0
443,26,75,1608386860,1608317217,0,-1,0
444,27,115,1605260772,1605260859,124,9,0
445,27,120,1605260860,1605260885,124,10,0
446,27,133,1605260886,1605260936,124,8,0
447,27,143,1605260937,1609763993,124,9,0
448,27,159,1605260979,1605261025,124,8,0
449,27,160,1605261026,1605261045,124,10,0
450,27,161,1605261046,1605261113,124,9,0
451,27,163,1605261114,1605261153,124,9,0
452,27,164,1605261154,1608048688,124,0,0
453,27,165,1605261321,1605261358,124,10,0
454,27,166,1605261359,1605261382,124,10,0
455,27,167,1605261383,1609764804,124,9.5,0
456,27,168,1605261441,1609764918,124,9.5,0
457,27,169,1605261476,1605261524,124,9,0
458,27,170,1605261525,1605267458,124,10,0
459,27,171,1605267459,1605267485,124,10,0
460,27,172,1605267486,1605267506,124,10,0
461,27,173,1605267507,1605267555,124,9,0
462,27,174,1605267556,1605267580,124,10,0
463,27,175,1605267580,1605267596,124,10,0
464,27,176,1605267597,1609765593,124,8.5,0
465,27,177,1605267649,1605267670,124,10,0
466,27,178,1605260665,1605260767,124,10,0
467,27,179,1605267671,1609765984,124,10,0
468,27,180,1605267753,1609766177,124,9.5,0
469,27,181,1605267782,1605267816,124,10,0
470,27,182,1605267817,1605267846,124,10,0
471,27,183,1605267847,1603361964,0,-1,0
472,27,184,1605267855,1605267855,0,-1,0
473,27,185,1605267859,1605267896,124,10,0
474,28,115,1607350153,1608048605,124,8,0
475,28,120,1607350221,1607350238,124,10,0
476,28,133,1607350238,1607350238,0,-1,0
477,28,143,1607350246,1607350293,124,6,0
478,28,159,1607350294,1608048605,124,6,0
479,28,160,1607350364,1609764640,124,10,0
480,28,161,1607350405,1608048605,124,6.5,0
481,28,163,1607350415,1607350427,124,10,0
482,28,164,1607350428,1607350428,0,-1,0
483,28,165,1607350434,1608048605,124,7.5,0
484,28,166,1607350503,1607350519,124,10,0
485,28,167,1607350520,1609764854,124,9.5,0
486,28,168,1607350547,1607350583,124,9.5,0
487,28,169,1607350584,1607350596,124,10,0
488,28,170,1607350597,1607350622,124,10,0
489,28,171,1607350623,1607350637,124,10,0
490,28,172,1607350638,1607350659,124,10,0
491,28,173,1607350660,1607350678,124,10,0
492,28,174,1607350679,1607350690,124,10,0
493,28,175,1607350691,1607350709,124,10,0
494,28,176,1607350710,1609765704,124,9,0
495,28,177,1607350737,1609765890,124,10,0
496,28,178,1607350000,1607350152,124,10,0
497,28,179,1607350763,1607350774,124,10,0
498,28,180,1607350775,1607350796,124,10,0
499,28,181,1607350797,1607350816,124,10,0
500,28,182,1607350817,1607350838,124,9,0
501,28,183,1607350839,1607350839,0,-1,0
502,28,184,1607350843,1607350843,0,-1,0
503,28,185,1607350845,1609769291,124,10,0
504,30,115,1606302942,1607862787,124,8.5,0
505,30,120,1606303962,1607862806,124,10,0
506,30,133,1606303982,1606304000,124,NULL,0
507,30,143,1606304001,1609764133,124,7.5,0
508,30,159,1606304019,1609765268,124,10,0
509,30,160,1606304033,1607862869,124,10,0
510,30,161,1606304047,1607862887,124,8,0
511,30,163,1606304063,1607862944,124,10,0
512,30,164,1606304079,1607862949,124,NULL,0
513,30,165,1606304100,1607862966,124,10,0
514,30,166,1606304113,1609765385,124,9.5,0
515,30,167,1606304125,1607863013,124,8,0
516,30,168,1606304137,1607863028,124,8,0
517,30,169,1606304152,1607863041,124,8.5,0
518,30,170,1606304161,1607863054,124,10,0
519,30,171,1606304172,1607863070,124,10,0
520,30,172,1606304191,1607863090,124,10,0
521,30,173,1606304203,1607863104,124,10,0
522,30,174,1606304213,1609765066,124,10,0
523,30,175,1606304223,1607863182,124,10,0
524,30,176,1606304235,1609765812,124,10,0
525,30,177,1606304250,1609765446,124,10,0
526,30,178,1606303768,1607862486,124,10,0
527,30,179,1606303850,1607862500,124,10,0
528,30,180,1606303864,1609766213,124,10,0
529,30,181,1606303875,1607862680,124,10,0
530,30,182,1606303923,1607862705,124,10,0
531,30,183,1606303936,1606304358,124,NULL,0
532,30,184,1606304311,1606304322,124,NULL,0
533,30,185,1606304323,1607862726,124,10,0
534,31,143,1608682924,1608676635,0,-1,0
535,31,160,1608394767,1607960470,0,-1,0
536,31,167,1608681675,1608653943,0,-1,0
537,31,168,1608681940,1608656460,0,-1,0
538,31,174,1608682817,1608673759,0,-1,0
539,31,176,1608494622,1608490834,0,-1,0
540,31,177,1608682886,1608674347,0,-1,0
541,31,179,1608682360,1608665151,0,-1,0
542,31,180,1608681781,1608655325,0,-1,0
543,31,185,1608386860,1608317217,0,-1,0
